date_key,date,year,quarter,month,month_name,week,day,day_of_week,is_weekend,is_holiday,fiscal_quarter,fiscal_period
124,2022-05-04,2022,2,5,May,18,4,Wednesday,False,False,2,2022-Q2
125,2022-05-05,2022,2,5,May,18,5,Thursday,False,False,2,2022-Q2
126,2022-05-06,2022,2,5,May,18,6,Friday,False,False,2,2022-Q2
127,2022-05-07,2022,2,5,May,18,7,Saturday,True,False,2,2022-Q2
128,2022-05-08,2022,2,5,May,18,8,Sunday,True,False,2,2022-Q2
129,2022-05-09,2022,2,5,May,19,9,Monday,False,False,2,2022-Q2
130,2022-05-10,2022,2,5,May,19,10,Tuesday,False,False,2,2022-Q2
131,2022-05-11,2022,2,5,May,19,11,Wednesday,False,False,2,2022-Q2
132,2022-05-12,2022,2,5,May,19,12,Thursday,False,False,2,2022-Q2
133,2022-05-13,2022,2,5,May,19,13,Friday,False,False,2,2022-Q2
134,2022-05-14,2022,2,5,May,19,14,Saturday,True,False,2,2022-Q2
135,2022-05-15,2022,2,5,May,19,15,Sunday,True,False,2,2022-Q2
136,2022-05-16,2022,2,5,May,20,16,Monday,False,False,2,2022-Q2
137,2022-05-17,2022,2,5,May,20,17,Tuesday,False,False,2,2022-Q2
138,2022-05-18,2022,2,5,May,20,18,Wednesday,False,False,2,2022-Q2
139,2022-05-19,2022,2,5,May,20,19,Thursday,False,False,2,2022-Q2
140,2022-05-20,2022,2,5,May,20,20,Friday,False,False,2,2022-Q2
141,2022-05-21,2022,2,5,May,20,21,Saturday,True,False,2,2022-Q2
142,2022-05-22,2022,2,5,May,20,22,Sunday,True,False,2,2022-Q2
143,2022-05-23,2022,2,5,May,21,23,Monday,False,False,2,2022-Q2
144,2022-05-24,2022,2,5,May,21,24,Tuesday,False,False,2,2022-Q2
145,2022-05-25,2022,2,5,May,21,25,Wednesday,False,False,2,2022-Q2
146,2022-05-26,2022,2,5,May,21,26,Thursday,False,False,2,2022-Q2
147,2022-05-27,2022,2,5,May,21,27,Friday,False,False,2,2022-Q2
148,2022-05-28,2022,2,5,May,21,28,Saturday,True,False,2,2022-Q2
149,2022-05-29,2022,2,5,May,21,29,Sunday,True,False,2,2022-Q2
150,2022-05-30,2022,2,5,May,22,30,Monday,False,False,2,2022-Q2
151,2022-05-31,2022,2,5,May,22,31,Tuesday,False,False,2,2022-Q2
152,2022-06-01,2022,2,6,June,22,1,Wednesday,False,False,2,2022-Q2
153,2022-06-02,2022,2,6,June,22,2,Thursday,False,False,2,2022-Q2
154,2022-06-03,2022,2,6,June,22,3,Friday,False,False,2,2022-Q2
155,2022-06-04,2022,2,6,June,22,4,Saturday,True,False,2,2022-Q2
156,2022-06-05,2022,2,6,June,22,5,Sunday,True,False,2,2022-Q2
157,2022-06-06,2022,2,6,June,23,6,Monday,False,False,2,2022-Q2
158,2022-06-07,2022,2,6,June,23,7,Tuesday,False,False,2,2022-Q2
159,2022-06-08,2022,2,6,June,23,8,Wednesday,False,False,2,2022-Q2
160,2022-06-09,2022,2,6,June,23,9,Thursday,False,False,2,2022-Q2
161,2022-06-10,2022,2,6,June,23,10,Friday,False,False,2,2022-Q2
162,2022-06-11,2022,2,6,June,23,11,Saturday,True,False,2,2022-Q2
163,2022-06-12,2022,2,6,June,23,12,Sunday,True,False,2,2022-Q2
164,2022-06-13,2022,2,6,June,24,13,Monday,False,False,2,2022-Q2
165,2022-06-14,2022,2,6,June,24,14,Tuesday,False,False,2,2022-Q2
166,2022-06-15,2022,2,6,June,24,15,Wednesday,False,False,2,2022-Q2
167,2022-06-16,2022,2,6,June,24,16,Thursday,False,False,2,2022-Q2
168,2022-06-17,2022,2,6,June,24,17,Friday,False,False,2,2022-Q2
169,2022-06-18,2022,2,6,June,24,18,Saturday,True,False,2,2022-Q2
170,2022-06-19,2022,2,6,June,24,19,Sunday,True,False,2,2022-Q2
171,2022-06-20,2022,2,6,June,25,20,Monday,False,False,2,2022-Q2
172,2022-06-21,2022,2,6,June,25,21,Tuesday,False,False,2,2022-Q2
173,2022-06-22,2022,2,6,June,25,22,Wednesday,False,False,2,2022-Q2
174,2022-06-23,2022,2,6,June,25,23,Thursday,False,False,2,2022-Q2
175,2022-06-24,2022,2,6,June,25,24,Friday,False,False,2,2022-Q2
176,2022-06-25,2022,2,6,June,25,25,Saturday,True,False,2,2022-Q2
177,2022-06-26,2022,2,6,June,25,26,Sunday,True,False,2,2022-Q2
178,2022-06-27,2022,2,6,June,26,27,Monday,False,False,2,2022-Q2
179,2022-06-28,2022,2,6,June,26,28,Tuesday,False,False,2,2022-Q2
180,2022-06-29,2022,2,6,June,26,29,Wednesday,False,False,2,2022-Q2
181,2022-06-30,2022,2,6,June,26,30,Thursday,False,False,2,2022-Q2
182,2022-07-01,2022,3,7,July,26,1,Friday,False,False,3,2022-Q3
183,2022-07-02,2022,3,7,July,26,2,Saturday,True,False,3,2022-Q3
184,2022-07-03,2022,3,7,July,26,3,Sunday,True,False,3,2022-Q3
185,2022-07-04,2022,3,7,July,27,4,Monday,False,False,3,2022-Q3
186,2022-07-05,2022,3,7,July,27,5,Tuesday,False,False,3,2022-Q3
187,2022-07-06,2022,3,7,July,27,6,Wednesday,False,False,3,2022-Q3
188,2022-07-07,2022,3,7,July,27,7,Thursday,False,False,3,2022-Q3
189,2022-07-08,2022,3,7,July,27,8,Friday,False,False,3,2022-Q3
190,2022-07-09,2022,3,7,July,27,9,Saturday,True,False,3,2022-Q3
191,2022-07-10,2022,3,7,July,27,10,Sunday,True,False,3,2022-Q3
192,2022-07-11,2022,3,7,July,28,11,Monday,False,False,3,2022-Q3
193,2022-07-12,2022,3,7,July,28,12,Tuesday,False,False,3,2022-Q3
194,2022-07-13,2022,3,7,July,28,13,Wednesday,False,False,3,2022-Q3
195,2022-07-14,2022,3,7,July,28,14,Thursday,False,False,3,2022-Q3
196,2022-07-15,2022,3,7,July,28,15,Friday,False,False,3,2022-Q3
197,2022-07-16,2022,3,7,July,28,16,Saturday,True,False,3,2022-Q3
198,2022-07-17,2022,3,7,July,28,17,Sunday,True,False,3,2022-Q3
199,2022-07-18,2022,3,7,July,29,18,Monday,False,False,3,2022-Q3
200,2022-07-19,2022,3,7,July,29,19,Tuesday,False,False,3,2022-Q3
201,2022-07-20,2022,3,7,July,29,20,Wednesday,False,False,3,2022-Q3
202,2022-07-21,2022,3,7,July,29,21,Thursday,False,False,3,2022-Q3
203,2022-07-22,2022,3,7,July,29,22,Friday,False,False,3,2022-Q3
204,2022-07-23,2022,3,7,July,29,23,Saturday,True,False,3,2022-Q3
205,2022-07-24,2022,3,7,July,29,24,Sunday,True,False,3,2022-Q3
206,2022-07-25,2022,3,7,July,30,25,Monday,False,False,3,2022-Q3
207,2022-07-26,2022,3,7,July,30,26,Tuesday,False,False,3,2022-Q3
208,2022-07-27,2022,3,7,July,30,27,Wednesday,False,False,3,2022-Q3
209,2022-07-28,2022,3,7,July,30,28,Thursday,False,False,3,2022-Q3
210,2022-07-29,2022,3,7,July,30,29,Friday,False,False,3,2022-Q3
211,2022-07-30,2022,3,7,July,30,30,Saturday,True,False,3,2022-Q3
212,2022-07-31,2022,3,7,July,30,31,Sunday,True,False,3,2022-Q3
213,2022-08-01,2022,3,8,August,31,1,Monday,False,False,3,2022-Q3
214,2022-08-02,2022,3,8,August,31,2,Tuesday,False,False,3,2022-Q3
215,2022-08-03,2022,3,8,August,31,3,Wednesday,False,False,3,2022-Q3
216,2022-08-04,2022,3,8,August,31,4,Thursday,False,False,3,2022-Q3
217,2022-08-05,2022,3,8,August,31,5,Friday,False,False,3,2022-Q3
218,2022-08-06,2022,3,8,August,31,6,Saturday,True,False,3,2022-Q3
219,2022-08-07,2022,3,8,August,31,7,Sunday,True,False,3,2022-Q3
220,2022-08-08,2022,3,8,August,32,8,Monday,False,False,3,2022-Q3
221,2022-08-09,2022,3,8,August,32,9,Tuesday,False,False,3,2022-Q3
222,2022-08-10,2022,3,8,August,32,10,Wednesday,False,False,3,2022-Q3
223,2022-08-11,2022,3,8,August,32,11,Thursday,False,False,3,2022-Q3
224,2022-08-12,2022,3,8,August,32,12,Friday,False,False,3,2022-Q3
225,2022-08-13,2022,3,8,August,32,13,Saturday,True,False,3,2022-Q3
226,2022-08-14,2022,3,8,August,32,14,Sunday,True,False,3,2022-Q3
227,2022-08-15,2022,3,8,August,33,15,Monday,False,False,3,2022-Q3
228,2022-08-16,2022,3,8,August,33,16,Tuesday,False,False,3,2022-Q3
229,2022-08-17,2022,3,8,August,33,17,Wednesday,False,False,3,2022-Q3
230,2022-08-18,2022,3,8,August,33,18,Thursday,False,False,3,2022-Q3
231,2022-08-19,2022,3,8,August,33,19,Friday,False,False,3,2022-Q3
232,2022-08-20,2022,3,8,August,33,20,Saturday,True,False,3,2022-Q3
233,2022-08-21,2022,3,8,August,33,21,Sunday,True,False,3,2022-Q3
234,2022-08-22,2022,3,8,August,34,22,Monday,False,False,3,2022-Q3
235,2022-08-23,2022,3,8,August,34,23,Tuesday,False,False,3,2022-Q3
236,2022-08-24,2022,3,8,August,34,24,Wednesday,False,False,3,2022-Q3
237,2022-08-25,2022,3,8,August,34,25,Thursday,False,False,3,2022-Q3
238,2022-08-26,2022,3,8,August,34,26,Friday,False,False,3,2022-Q3
239,2022-08-27,2022,3,8,August,34,27,Saturday,True,False,3,2022-Q3
240,2022-08-28,2022,3,8,August,34,28,Sunday,True,False,3,2022-Q3
241,2022-08-29,2022,3,8,August,35,29,Monday,False,False,3,2022-Q3
242,2022-08-30,2022,3,8,August,35,30,Tuesday,False,False,3,2022-Q3
243,2022-08-31,2022,3,8,August,35,31,Wednesday,False,False,3,2022-Q3
244,2022-09-01,2022,3,9,September,35,1,Thursday,False,False,3,2022-Q3
245,2022-09-02,2022,3,9,September,35,2,Friday,False,False,3,2022-Q3
246,2022-09-03,2022,3,9,September,35,3,Saturday,True,False,3,2022-Q3
247,2022-09-04,2022,3,9,September,35,4,Sunday,True,False,3,2022-Q3
248,2022-09-05,2022,3,9,September,36,5,Monday,False,False,3,2022-Q3
249,2022-09-06,2022,3,9,September,36,6,Tuesday,False,False,3,2022-Q3
250,2022-09-07,2022,3,9,September,36,7,Wednesday,False,False,3,2022-Q3
251,2022-09-08,2022,3,9,September,36,8,Thursday,False,False,3,2022-Q3
252,2022-09-09,2022,3,9,September,36,9,Friday,False,False,3,2022-Q3
253,2022-09-10,2022,3,9,September,36,10,Saturday,True,False,3,2022-Q3
254,2022-09-11,2022,3,9,September,36,11,Sunday,True,False,3,2022-Q3
255,2022-09-12,2022,3,9,September,37,12,Monday,False,False,3,2022-Q3
256,2022-09-13,2022,3,9,September,37,13,Tuesday,False,False,3,2022-Q3
257,2022-09-14,2022,3,9,September,37,14,Wednesday,False,False,3,2022-Q3
258,2022-09-15,2022,3,9,September,37,15,Thursday,False,False,3,2022-Q3
259,2022-09-16,2022,3,9,September,37,16,Friday,False,False,3,2022-Q3
260,2022-09-17,2022,3,9,September,37,17,Saturday,True,False,3,2022-Q3
261,2022-09-18,2022,3,9,September,37,18,Sunday,True,False,3,2022-Q3
262,2022-09-19,2022,3,9,September,38,19,Monday,False,False,3,2022-Q3
263,2022-09-20,2022,3,9,September,38,20,Tuesday,False,False,3,2022-Q3
264,2022-09-21,2022,3,9,September,38,21,Wednesday,False,False,3,2022-Q3
265,2022-09-22,2022,3,9,September,38,22,Thursday,False,False,3,2022-Q3
266,2022-09-23,2022,3,9,September,38,23,Friday,False,False,3,2022-Q3
267,2022-09-24,2022,3,9,September,38,24,Saturday,True,False,3,2022-Q3
268,2022-09-25,2022,3,9,September,38,25,Sunday,True,False,3,2022-Q3
269,2022-09-26,2022,3,9,September,39,26,Monday,False,False,3,2022-Q3
270,2022-09-27,2022,3,9,September,39,27,Tuesday,False,False,3,2022-Q3
271,2022-09-28,2022,3,9,September,39,28,Wednesday,False,False,3,2022-Q3
272,2022-09-29,2022,3,9,September,39,29,Thursday,False,False,3,2022-Q3
273,2022-09-30,2022,3,9,September,39,30,Friday,False,False,3,2022-Q3
274,2022-10-01,2022,4,10,October,39,1,Saturday,True,False,4,2022-Q4
275,2022-10-02,2022,4,10,October,39,2,Sunday,True,False,4,2022-Q4
276,2022-10-03,2022,4,10,October,40,3,Monday,False,False,4,2022-Q4
277,2022-10-04,2022,4,10,October,40,4,Tuesday,False,False,4,2022-Q4
278,2022-10-05,2022,4,10,October,40,5,Wednesday,False,False,4,2022-Q4
279,2022-10-06,2022,4,10,October,40,6,Thursday,False,False,4,2022-Q4
280,2022-10-07,2022,4,10,October,40,7,Friday,False,False,4,2022-Q4
281,2022-10-08,2022,4,10,October,40,8,Saturday,True,False,4,2022-Q4
282,2022-10-09,2022,4,10,October,40,9,Sunday,True,False,4,2022-Q4
283,2022-10-10,2022,4,10,October,41,10,Monday,False,False,4,2022-Q4
284,2022-10-11,2022,4,10,October,41,11,Tuesday,False,False,4,2022-Q4
285,2022-10-12,2022,4,10,October,41,12,Wednesday,False,False,4,2022-Q4
286,2022-10-13,2022,4,10,October,41,13,Thursday,False,False,4,2022-Q4
287,2022-10-14,2022,4,10,October,41,14,Friday,False,False,4,2022-Q4
288,2022-10-15,2022,4,10,October,41,15,Saturday,True,False,4,2022-Q4
289,2022-10-16,2022,4,10,October,41,16,Sunday,True,False,4,2022-Q4
290,2022-10-17,2022,4,10,October,42,17,Monday,False,False,4,2022-Q4
291,2022-10-18,2022,4,10,October,42,18,Tuesday,False,False,4,2022-Q4
292,2022-10-19,2022,4,10,October,42,19,Wednesday,False,False,4,2022-Q4
293,2022-10-20,2022,4,10,October,42,20,Thursday,False,False,4,2022-Q4
294,2022-10-21,2022,4,10,October,42,21,Friday,False,False,4,2022-Q4
295,2022-10-22,2022,4,10,October,42,22,Saturday,True,False,4,2022-Q4
296,2022-10-23,2022,4,10,October,42,23,Sunday,True,False,4,2022-Q4
297,2022-10-24,2022,4,10,October,43,24,Monday,False,False,4,2022-Q4
298,2022-10-25,2022,4,10,October,43,25,Tuesday,False,False,4,2022-Q4
299,2022-10-26,2022,4,10,October,43,26,Wednesday,False,False,4,2022-Q4
300,2022-10-27,2022,4,10,October,43,27,Thursday,False,False,4,2022-Q4
301,2022-10-28,2022,4,10,October,43,28,Friday,False,False,4,2022-Q4
302,2022-10-29,2022,4,10,October,43,29,Saturday,True,False,4,2022-Q4
303,2022-10-30,2022,4,10,October,43,30,Sunday,True,False,4,2022-Q4
304,2022-10-31,2022,4,10,October,44,31,Monday,False,False,4,2022-Q4
305,2022-11-01,2022,4,11,November,44,1,Tuesday,False,False,4,2022-Q4
306,2022-11-02,2022,4,11,November,44,2,Wednesday,False,False,4,2022-Q4
307,2022-11-03,2022,4,11,November,44,3,Thursday,False,False,4,2022-Q4
308,2022-11-04,2022,4,11,November,44,4,Friday,False,False,4,2022-Q4
309,2022-11-05,2022,4,11,November,44,5,Saturday,True,False,4,2022-Q4
310,2022-11-06,2022,4,11,November,44,6,Sunday,True,False,4,2022-Q4
311,2022-11-07,2022,4,11,November,45,7,Monday,False,False,4,2022-Q4
312,2022-11-08,2022,4,11,November,45,8,Tuesday,False,False,4,2022-Q4
313,2022-11-09,2022,4,11,November,45,9,Wednesday,False,False,4,2022-Q4
314,2022-11-10,2022,4,11,November,45,10,Thursday,False,False,4,2022-Q4
315,2022-11-11,2022,4,11,November,45,11,Friday,False,False,4,2022-Q4
316,2022-11-12,2022,4,11,November,45,12,Saturday,True,False,4,2022-Q4
317,2022-11-13,2022,4,11,November,45,13,Sunday,True,False,4,2022-Q4
318,2022-11-14,2022,4,11,November,46,14,Monday,False,False,4,2022-Q4
319,2022-11-15,2022,4,11,November,46,15,Tuesday,False,False,4,2022-Q4
320,2022-11-16,2022,4,11,November,46,16,Wednesday,False,False,4,2022-Q4
321,2022-11-17,2022,4,11,November,46,17,Thursday,False,False,4,2022-Q4
322,2022-11-18,2022,4,11,November,46,18,Friday,False,False,4,2022-Q4
323,2022-11-19,2022,4,11,November,46,19,Saturday,True,False,4,2022-Q4
324,2022-11-20,2022,4,11,November,46,20,Sunday,True,False,4,2022-Q4
325,2022-11-21,2022,4,11,November,47,21,Monday,False,False,4,2022-Q4
326,2022-11-22,2022,4,11,November,47,22,Tuesday,False,False,4,2022-Q4
327,2022-11-23,2022,4,11,November,47,23,Wednesday,False,False,4,2022-Q4
328,2022-11-24,2022,4,11,November,47,24,Thursday,False,False,4,2022-Q4
329,2022-11-25,2022,4,11,November,47,25,Friday,False,False,4,2022-Q4
330,2022-11-26,2022,4,11,November,47,26,Saturday,True,False,4,2022-Q4
331,2022-11-27,2022,4,11,November,47,27,Sunday,True,False,4,2022-Q4
332,2022-11-28,2022,4,11,November,48,28,Monday,False,False,4,2022-Q4
333,2022-11-29,2022,4,11,November,48,29,Tuesday,False,False,4,2022-Q4
334,2022-11-30,2022,4,11,November,48,30,Wednesday,False,False,4,2022-Q4
335,2022-12-01,2022,4,12,December,48,1,Thursday,False,False,4,2022-Q4
336,2022-12-02,2022,4,12,December,48,2,Friday,False,False,4,2022-Q4
337,2022-12-03,2022,4,12,December,48,3,Saturday,True,False,4,2022-Q4
338,2022-12-04,2022,4,12,December,48,4,Sunday,True,False,4,2022-Q4
339,2022-12-05,2022,4,12,December,49,5,Monday,False,False,4,2022-Q4
340,2022-12-06,2022,4,12,December,49,6,Tuesday,False,False,4,2022-Q4
341,2022-12-07,2022,4,12,December,49,7,Wednesday,False,False,4,2022-Q4
342,2022-12-08,2022,4,12,December,49,8,Thursday,False,False,4,2022-Q4
343,2022-12-09,2022,4,12,December,49,9,Friday,False,False,4,2022-Q4
344,2022-12-10,2022,4,12,December,49,10,Saturday,True,False,4,2022-Q4
345,2022-12-11,2022,4,12,December,49,11,Sunday,True,False,4,2022-Q4
